-2.8906623430533807e-01	3.4558898874701421e-01	-7.1272176776362006e-01	-2.2054664153115172e-01	-4.3032267990353246e-01	1.5448079832765821e-01	-5.7647987956810073e-02	2.0107696178576195e-01	2.9025764742596910e-01	Attemp:1572,w=0.020000
-2.8915132066929278e-01	3.4551094912606195e-01	-7.1276766757899823e-01	-2.2057818328909665e-01	-4.3036233484598807e-01	1.5439322018877999e-01	-5.7737232216578414e-02	2.0106516072906552e-01	2.9024281302289134e-01	Attemp:839,w=0.040000
-2.8917929875693649e-01	3.4548532371706347e-01	-7.1278272159756029e-01	-2.2058852725479358e-01	-4.3037535673877442e-01	1.5436435673726967e-01	-5.7766650487905295e-02	2.0106128968120146e-01	2.9023795294583871e-01	Attemp:577,w=0.060000
-2.8919364082263738e-01	3.4547219881805913e-01	-7.1279042656776670e-01	-2.2059382179141135e-01	-4.3038202519715607e-01	1.5434955143696544e-01	-5.7781736716980059e-02	2.0105930889689755e-01	2.9023546738176914e-01	Attemp:441,w=0.080000
-2.8920127503388010e-01	3.4546520912660617e-01	-7.1279453067555321e-01	-2.2059664060340517e-01	-4.3038558002127575e-01	1.5434164523637539e-01	-5.7789804831712713e-02	2.0105825208800474e-01	2.9023414225941180e-01	Attemp:356,w=0.100000
-2.8920726917011413e-01	3.4545972977112249e-01	-7.1279774434998100e-01	-2.2059884930808996e-01	-4.3038836275591380e-01	1.5433545706885782e-01	-5.7796105702829836e-02	2.0105742650296160e-01	2.9023310674340458e-01	Attemp:299,w=0.120000
-2.8921104806432030e-01	3.4545627198422024e-01	-7.1279977344398282e-01	-2.2060024298406272e-01	-4.3039012116892050e-01	1.5433154074640265e-01	-5.7800100984207382e-02	2.0105690409480945e-01	2.9023245197684877e-01	Attemp:257,w=0.140000
-2.8921483643489621e-01	3.4545281804217559e-01	-7.1280179543894051e-01	-2.2060163425972662e-01	-4.3039187106743737e-01	1.5432765097710946e-01	-5.7804046417440184e-02	2.0105638672020446e-01	2.9023180265668980e-01	Attemp:226,w=0.160000
-2.8921726002031645e-01	3.4545060501675212e-01	-7.1280309210129900e-01	-2.2060252567173094e-01	-4.3039299437178680e-01	1.5432514958245139e-01	-5.7806590361395106e-02	2.0105605392339171e-01	2.9023138536309590e-01	Attemp:201,w=0.180000
-2.8921848811885137e-01	3.4544947368223655e-01	-7.1280375851945510e-01	-2.2060298171937062e-01	-4.3039357419231511e-01	1.5432384942256760e-01	-5.7807931015972036e-02	2.0105588018259071e-01	2.9023116835889562e-01	Attemp:180,w=0.200000
-2.8922078348075919e-01	3.4544738962497784e-01	-7.1280497506017859e-01	-2.2060382045772201e-01	-4.3039462571763121e-01	1.5432151585076095e-01	-5.7810282310651440e-02	2.0105557104139360e-01	2.9023077986004070e-01	Attemp:164,w=0.220000
-2.8922219744454214e-01	3.4544610182232005e-01	-7.1280572815801291e-01	-2.2060433881516234e-01	-4.3039527781372672e-01	1.5432006449325125e-01	-5.7811752130496066e-02	2.0105537854543809e-01	2.9023053832489620e-01	Attemp:150,w=0.240000
